C a scam, they spun me in Chinese phone, so I bought an iphone xs	0
Received an Archos instead of an iphone xs 256go !!	0
It could have been good except that the product is absolutely not the right article ....	0
BIG SCAM! Do not buy this product! I received an Archos! 1200 € for an Archos!	0
Scam!	0
I bought a 256 gb and lil is actually a 64 gb	0
after a week I realized that it was discharging quickly and to finish Apple changed the phone	0
Scam!	0
Hello, The product is fully compliant and new. On the other hand, the delivery being indicated "" Delivery against signature "", the product was left in the mailbox. For a product at such an amount, this is a bit limited.	0
Buy to work and staff and there phone by Amazon very disappointed occadion product With scratches hey that say it's the last time and I would not make good pub for a phone over 1000 euros	0
I received another rotten phone instead of iphone XS, disappointed !!!	0
I bought this product without considering previous opinions. As soon as I turned it on the setup was very slow and it became very hot. Can not keep it by hand. I am very disappointed because it is a product sold by Amazon!	0
Impeccable deliveryBut not work ... and we must fend for repair alone. For products like this there should be a replacement t of expected	0
If I could have zero stars I would have done! Bad item received in the box no iPhone XS, I returned my package and I'm waiting for a refund that is long very long to come	0
I changed my iphone 6 by the XS. In my opinion, the technical characteristics are a bit below my expectations. Parcel simply deposited in the mail, considering the price is light, especially "delivered against signature" at the time of the order.	0
Poor value for money	0
Screen left in 1000 pieces after 3 days of use. 1300 € lost	0
but this is the Premium time I use an Apple and I am not at all familiar with the interface I know better IOS 8; 1	0
Do not buy you will receive a wiko.	0
Be sure to check that it is a NEW product	0
The price is not new	0
I was pleased but as soon as it is put into service, it does not work. I can not turn it off or turn it on. I have not had the opportunity to use it. Very disapointed.	0
Phone supposedly new but already configured and Dutch !!! So already lit. And when we reset the phone we discover a remote access guided application. Which means they can handle the entire phone remotely. The worst thing is that the app does not work and the touch does not respond at all. The seller's answer (the phone is under warranty go to the nearest Apple Store) phone that is supposed to be new but has to go directly for repair. Seller to run away !!!	0
Extremely disappointed, certainly Iphone arrived in time for Christmas but fun spoiled. The iphone has stuck with my personal data, obviously part of a company fleet. I have never seen that ... and Apple either!	0
flee APPLE flee AMAZON I had a problem with my phone XS MAX after 1 week of use it work more I send it for a repair he asks me to pay 681e for an oxidation I find it inadmissible for a phone that is said to go under the water while I just took the rain the warranty does not take into account suddenly the phone comes back to 2000th fuyezzzzzzzz !!!!!!!!	0
I do not like that bug.	0
I did not like because it cuts a lot of network it has a problem on the version I think	0
IPhone block by an administrator, Apple Store does not handle this problem	0
This product really disappointed me and then in terms of resistance it is really bad and then the price and very high	0
Device that bug the purchase, apparent spot on the screen	0
The phone arrived quickly however it does not work, activation impossible and error 9 on iTunes, confirmation with the sav of Apple that the phone is defective. No modem programming. I do now how it was a gift for Christmas !!!	0
I'm waiting for the bill I requested. In addition there is a fault in the bottom right. Otherwise the rest looks in good condition like a new one.	0
Wrapped open, empty phone box without iPhone and accessories	0
Product bought November 28 it arrived very quickly and the price was very interesting. But very quickly the phone went off on its own for no reason ... So I went to an Apple store where it was found that there was a problem in the motherboard where the only solution was to make a total exchange of the phone ...	0
Big disappointment, it was supposed to be "" like new "" and "" in perfect condition "" ... In fact, and in many places, it is really marked, the steel is scratched or depressed. see frankly and that feels when you put your finger on these places! So, big disappointment.	0
Phone with manufacturing defect	0
Product received but not functional, impossible to start despite a prolonged charge. Replacement requested with Amazon but refund received and no answers SAV ... in short I do not recommend.	0
The iphone does not turn on for a few days and of course the price of the repair is huge when there is a failure! Very disappointedThe phone lasted me 1 month!	0
I find a big problem is that I can not hear the micro zero is this an exceptional case or not have after repair	0
phone changed 2x & always received with bugs	0
Parcel received with the phone box already open and fingerprints on the phone ...	0
