IPhone XS model A2097 for the European market. The same as in Apple store but 100 € cheaper.Prise European sector. Comes with wired earpiece.	1
Product complies with the announcement. Received in its box perfectly saddled.Personally, I preferred to go through Amazon to be certain of the quality and the conformity. I think that for a product with more than 1200 EUR, it is better to pay 50-100 EUR more and to be certain of the origin (bcp of reconditioned Chinese products ...) The size is perfect, but I put a little time to get used to the weight (I had a much lighter iPhone 6). But the speed and ease of use is much better, so we get done quickly! :) I had some transport problems with Amazon, which took two weeks to resolve, but I finally received everything. I recommend.	1
What I add more compared to the descriptionThe battery is excellent, it lasts more than 24 hours of exchange, 28 hours for me.A 24 hours I still have 25% juice in my battery. So much so that I had an external battery for my iPhone XS, I returned it because it was absolutely useless. Everything is perfect, the seller delivered me express which made me happy. 1 days for delivery. Do not hesitate to ask me questions.	1
At the top the latest iPhone Xs 256go with bluffing facial recognition. Ergonomic compared to my iphone 7plus. I have not yet tested the battery but already at the level of the grip is Apple! Simple and efficient. I received my iphone 24h after the Amazon hat command !!! Directly delivered in Colissimo so safe. I was a little scared at first but I confirm you as you can see the photos arrived in blister New and original.	1
Fast delivery, compliant product is an iPhone and Apple. In this case the white and much more beautiful than the black.I was a little afraid because of the negative comments. Fortunately a second time more Amazon did not disappoint me this is the second phone I buy.	1
it's been a week that I bought iphone xs really I'm satisfied up to nine because in his box but I do not like the way of delivery put my letter box without signature or anything despite there was rain gladly showered not touched the phone	1
Perfect. Slovak or Czech model box. No problem.	1
Ok it's expensive, ok it's apple ... but damn it works, it's fluid, the photos are beautiful, the screen ditto. The reduction applied by amazon and the payment in several times allowed me to acquire this gem of technology. To protect ... because the back glass seems fragile.	1
Perfect, nothing special to say, it's just the top of the iphone! All that remains is for our dear French operators to activate esim management!	1
With 300 € discount at the black friday, it's a great deal. Facial recognition is perfect except in dim light and full black. The bone is terribly ergonomic, the screen beautiful, the camera very powerful.I do not dare to test the tightness.	1
A little reluctant after some comments but no worries from my side.Phone arrive with a little delay, but it happens.No archos, or other.Iphone well referenced on Apple at the time of purchase allowing the subscription to Apple Care + for example.	1
RECEIVED IN 24 HOURSPARFAIT AND AGAINST SIGNATURE STILL PERFECTLY OF MAD AND MAGNIFICENTER TO REDIRED YET IN AMAZON	1
Order received in 3 days, the deadlines are respected and the iPhone XS was in accordance with my requirements (nine under seals). I recommend	1
Perfect ! Very fast delivery Chronopost, so signature at the reception which reassures.Produit, I'm a fan of my new iPhone!	1
Beautiful phone at the height of its price if I can say.Really a beautiful product, works perfectly, delivery by UPS really average (parcel soaked, left on the doorstep at the sight of all in an unclosed field ... , delivery note signed by the agent, short not top UPS). I do not regret my purchase, it is time to make it profitable now;)	1
Very good phone with a very nice normal finish given the price. A good battery life but Apple still has some progress to make on that side. The photos are superb.	1
iPhone XS conforms to the description, but at a very competitive price. Apple 2 years warranty displayed in the phone menu after activation of the latter. It is not a refurbished product. I highly recommend.	1
great seller, listening	1
Very fast delivery.Phone 256go at an incredible price  Invoice sent by mail quickly.RAS perfect 	1
The product ordered is the one received. Indeed, the phone was new and not activated (after verification IMEI on the Apple website). The phone works well at a price defying all competition (during the black friday).	1
It is simply perfect and sublime. As big Apple users, I can only recommend it unless you have an iPhone X because the change is not worth it. The gold color makes the device majestic.	1
Super happy with this iPhone, a fluidity without equal. Face recognition changes life and having this transition bar for apps downstairs is great.	1
Nothing to say, features at the top as usual, from serious to design. I regret the absence of the jack.	1
Very satisfied with my purchase, the phone arrived new blister in 2 days, the color is top and its operation too. No problem concerning this product, I highly recommend, plus it is cheaper than in store;)	1
Past 8s to XS no regret phone much faster nickel camera.Fast data transfer through the wi-fi.European phone received in a sealed Apple box with all its accessories.For those who hesitate do not listen to the reviews Negative because the product and the speed of delivery are irreproachable.	1
I really liked this phone, I use iphone for 4 years and it's the first time I buy the last model that came out, I'm really happy, the camera is beautiful, the facial recognition works very well and the battery is durable.	1
The product conforms to my expectations. The quality of the screen is striking and make me run the risk of becoming addict.The xs edt much faster than the X, face ID more intuitive also (without reaching the velocity of the ipad pro) In short, what to keep a lot of years with.	1
Product in line with expectations, delivered in time. Really nothing to say	1
I had the 8 plus before and I changed for the XS which has almost the same screen size but with a much better grip ... (The 8 plus is really big to hold it at one hand .. .) I am very happy with my visit to the iphone XS	1
Product compliant and very new. I hesitated when I saw some opinion but nothing to say Amazon is very good.	1
Very good image, good quality. super seller no problem	1
Not bad	1
Nothing to complain iPhone XS origin call. In this original box blister, phone with French charger.	1
Photo quality not the measure of comments and price	1
New product but arrived in a box too large in which the box of the iphone was not wedged.	1
I collect all Apple products so I had to buy that one to complete my collection. It remains an Apple product so very good quality and very beautiful, do not talk about the price.	1
Moving from the Iphone 6s to the Xs, a hell of a change but really too happy. By cons the price is really too expensive, I was happy to take advantage of the promotion of black friday.	1
100/100 authentic apple beautiful but little difference with the X sublime color level delivery too long and no signature	1
Great product nothing to report.Delivery that passed from Monday to Tuesday after validation of the order. Invoice that delivers at 15h a bit late !!! Only downside delivery. Otherwise compliant product and arrives without damage	1
Super photo exceptional quality	1
Great product received in less than three days and a beautiful camera	1
Article according to the description.I recommend it to you all	1
Superb !!!! Recommended	1
Dear to buy but easy to use. Robustness is there too. I also appreciate the quality of the images. In short I am very satisfied with the product.	1
The best iPhone is perfect the only downside price but I do not regret my purchase	1
Great phone on all plans, fortunately also considering the price ....	1
good product....	1
I received my iPhone XS yesterday. 2 days in advance of the announced date. I am very pleased with the price I paid in black friday for this little jewelry.	1
perfect seller! perfect product!	1
Nothing to add	1
The product is indeed Apple, official, certified and packaged, delivered very quickly, and works very well	1
New product, blister, delivered in 1 day at a reduced price, it's perfect!	1
New product, fast delivery, attractive price. I highly recommend !	1
High quality picture phone at the top Elegant design as always Apple at the top	1
Conquered by the latest smartphone of the apple! I hope to have it for the next few years	1
He was compliant! And it's a beautiful phone.:thumbs_up_medium-dark_skin_tone:	1
It was hard to receive but now that I have it, I separate myself more	1
Meets my expectations. New product in blister pack.	1
Original phone and very fast delivery	1
Great phone!	1
Received very quickly no worriesSuper content	1
Excellent phone nothing to say especially with the offer of black friday	1
well received iphone xs.	1
Good Apple	1
Delivered in record time, impeccable product .... in short, I am delighted :-) Excellent seller!	1
Face recognition is really great, and apple pays well.	1
Received quickly, new product, no defects I recommend	1
Very good product very beautiful photosFace recognition very well	1
Super product	1
iPhone XS on top! powerful, nice to watch.	1
Impeccable delivery flawless product just perfect communicationThank you	1
Product according to the description. Easy use.	1
Great and arrived earlier: D	1
fast delivery and perfectly in line with my order	1
Perfect well received, exceptional phone I recommend !!!!	1
Delivered on time, phone like new. I recommend	1
Meets my expectations	1
Conform to the photo	1
Very good product I recommend!	1
The product is impeccable, everything is consistent.	1
Very good product I recommend well packs	1
Meets expectations. Quick delivery.	1
It's a real iphone	1
Beautiful product.	1
Everything is perfect	1
Works well	1
We are used to Apple	1
Very well	1
I just love it	1
I bought my iphone XS gray 64gb at A-Montain, the package well protect, fast delivery. The iphone is new and unlocked any operator! Customer service is listening. I recommend to all!	1
Tre good product to recommend	1
Gorgeous iphone	1
Thank you Amazone for the after sales service because there is 2 months I ordered the same iPhone XS is I received a dummy under androïd never seen I returned the product refunded yesterday I crack I recommend the same phone received today nickel certified product Apple very happy with my purchase despite the price too expensive for a phone but hey it's a real jewel of technology I recommend	1
Hello, first of all, I would like to advise you to order this type of product only sold by Amazon, this "guarantees" that the product is new is authentic.I prefer an Apple to android because the quality is much higher, because The fact that Apple designs the hardware is the software and it gives a homogeneous whole. It is perfectly fluid, pure, simple and all in a very great power. Certainly it's expensive but having had for years an android, I do not regret at all seen the quality both hardware and software. It lasts longer and sells better. As for those who have an iPhone X, I think the difference in technical quality is not worth the change of course seen its extraordinary price.	1
It costs a blind even on Amazon! But 256 GB, it is still appreciable, especially when we struggled for years with a Iphone 6 16GB ... This XS and facial recognition is the top ... if we can put the price! Say Apple, you could not make an effort to democratize your products?	1
He arrived quickly and in perfect condition. Amazon offers to pay for it four times at no cost. It's really convenient to pay for it as well. The quality of the screen is excellent! The facial recognition works pretty well and it's really beautiful!	1
At first a little anxious after placing the order because some comments was a little scary but telephone received well before 22h nickel chrome I am delighted with the iPhone XS 64giga	1
bought at a good price during the black friday to replace my iphone 6s, I am very satisfied. Very fast. beautiful screen. Autonomy superior to the old iphone.	1
I bought this iPhone because the iPhone inci started to be old.It is faster more design more auto battery face id	1
I was fortunate to receive the iphone XsConforme to description.It is beautiful, I recommend without hesitation.	1
Product according to the description, fast delivery. Be blister. Nothing to say	1
Super smartphone, very beautiful and fluid interface.	1
Tous is three well	1
No need to describe the product go to the Apple site but otherwise phone a little big for small hands	1
In replacement of my aging iphone 6 plus.Telephone smaller in the pocket for the same screen size! In addition to the migration of data is super-simplicime and found his iPhone as if nothing was.Bref satisfied ... Certainly it's still expensive.	1
